case_id,AudioDurationSec,CommitLeadMeanSec,CommittedEventCount,EffectiveSegmentScaleMax,EstimatedTextDurationSec,MaxVisiblePoseGapSec,MissingCommittedEventCount,MissingPeakCount,MonotonicityViolations,PeakTimingMAEMs,PlannedEventCount,ScaleCapHitCount,Transcript,VisiblePoseGapCountOver250ms,WeakPeakCount,WeakPeakRate
case_000171,3.25688,0.0996671,20,1.41978,1.74923,0.300002,0,0,0,11.6238,20,0,Slovenia has the highest waterfall in Central Europe.,1,0,0
case_000172,6.05688,0.411031,43,1.42,9.2169,0.666666,0,0,0,9.99747,43,0,"Croatia has the Plitvice Lakes, a stunning national park with natural turquoise lakes connected by waterfalls.",2,0,0
case_000173,3.41687,0.249928,21,1.31277,4.05436,0.366669,0,0,0,11.3107,21,0,Greece is the birthplace of Western philosophy and democracy.,1,0,0
case_000174,4.77688,0.178638,35,1.33807,6.88628,0.383333,0,0,0,10.1567,35,0,"North Macedonia is home to the ancient city of Stobi, with well-preserved Roman ruins.",2,0,0
case_000175,4.69688,0.0737751,27,1.36697,2.8644,0.216666,0,0,0,8.90095,27,0,"Moldova is known for its wine, not just in quantity but in quality too.",0,0,0
case_000176,3.41687,0.27846,21,1.30838,3.92143,0.366666,0,0,0,10.9142,21,0,Bucharest has the largest Parliament building in the world.,1,0,0
case_000177,3.49688,0.0181755,20,1.50339,1.87885,0.046669,0,0,0,8.41771,20,0,Ukraine is where the world's first nuclear reactor was built.,0,0,0
case_000178,3.65687,0.0438582,26,1.48337,2.22222,0.213336,0,0,0,10.847,26,0,Belarus has the largest forested area per capita in Europe.,0,0,0
case_000179,4.77688,0.0847152,31,1.19368,5.61154,0.366666,0,0,0,10.005,31,0,"Lithuania is famous for its amber, used in jewelry and traditional medicine.",2,0,0
case_000180,2.93688,-0.00619617,24,1.39985,1.7381,0.166667,0,0,0,9.06481,24,0,Latvia has the tallest wooden church tower in the world.,0,0,0
case_000181,3.09687,0.1024,17,1.48594,1.60824,0.303335,0,0,0,8.44264,17,0,Norway is home to the world's longest ski jump.,1,0,0
case_000182,5.49687,0.0700371,31,1.21265,3.83177,0.216666,0,0,0,11.4465,31,0,"Denmark has the longest straight in Europe, a 37.9 km stretch of road.",0,0,0
case_000183,4.21688,-0.0403897,32,1.3169,3.10566,0.133333,0,0,0,11.2149,32,0,Sweden has the highest number of mobile phone subscriptions per capita in the world.,0,0,0
case_000184,3.81687,0.0992762,21,1.5897,1.80624,0.593336,0,0,0,10.2159,21,0,Finland boasts the northernmost railway station in the world.,1,0,0
case_000185,2.45688,0.13009,15,1.32634,1.41662,0.273335,0,0,0,9.346,15,0,Russia has the world's largest forest area.,1,0,0
case_000186,2.93688,-0.137971,11,1.19193,2.55605,0.683333,0,0,0,7.18868,11,0,"That's not quite right, Georgi. Try again.",1,0,0
case_000187,4.45687,-0.00864684,31,1.20416,3.11502,0.25,0,0,0,10.6978,31,0,"Georgia is home to the Signagi Bridge, the oldest suspension bridge in the world.",0,0,0
case_000188,5.25688,0.0266627,21,1.35713,4.28652,0.699999,0,0,0,11.0131,21,0,"Ah, Azerbaijan! It's known for its mud volcanoes, quite unique.",2,0,0
case_000189,3.49688,-0.0141703,18,1.27651,3.34721,0.2,0,0,0,8.86524,18,0,"Istanbul has the world's largest square, Taksim Square.",0,0,0
case_000190,4.61688,-0.0323378,26,1.25063,2.681,0.183333,0,0,0,11.1871,26,0,"Syria has a rich history, but it's been through tough times lately.",0,1,0.0384615
case_000191,4.85687,0.0206179,35,1.33975,3.55936,0.133333,0,0,0,8.33127,35,0,"Iraq is famous for the Hanging Gardens, one of the Seven Wonders of the Ancient World.",0,0,0
case_000192,3.25688,0.0391234,23,1.47886,1.8782,0.15,0,0,0,9.79368,23,0,Saudi Arabia has the largest oil reserves in the world.,0,0,0
case_000193,4.29688,0.00578417,29,1.1371,3.27789,0.116667,0,0,0,11.4523,29,0,Yemen has faced a lot of challenges recently. How can I help you today?,0,0,0
case_000194,5.17688,0.0713577,33,1.21926,3.15723,0.646665,0,0,0,9.16687,33,0,"Oman has the longest unbroken wall in the world, the Great Wall of Al Mirani.",1,0,0
case_000195,4.53687,0.0712049,28,1.1957,3.6982,0.116667,0,0,0,10.8438,28,0,Iran is known for its beautiful Persian carpets and rich culture. How can I assist you?,0,1,0.0357143
case_000196,4.53687,0.069677,26,1.42481,2.39949,0.806669,0,0,0,10.5056,26,0,Turkmenistan has the world's largest gas deposit at its Dasoguz field.,1,0,0
case_000197,4.45687,0.045803,27,1.24052,3.30159,0.166667,0,0,0,10.8758,27,0,Afghanistan is famous for its ancient Bamiyan Buddhas. How can I help you today?,0,0,0
case_000198,3.97688,-0.0847722,26,1.24628,2.66209,0.166667,0,0,0,9.66548,26,0,"Pakistan is home to the highest peak in South Asia, Mount Everest.",0,0,0
case_000199,5.17688,0.0384555,32,1.3875,7.30592,0.523329,0,0,0,9.32061,32,0,Uzbekistan is known for its silk and the ancient city of Samarkand. How can I assist you?,3,0,0
case_000200,6.69688,0.142694,44,1.34962,9.2862,0.800009,0,0,0,10.2165,44,0,"Tajikistan is famous for its stunning natural beauty, including the Pamir Mountains. How can I help you today?",1,1,0.0227273
case_000201,6.21688,0.0841739,35,1.395,8.27316,0.75001,0,0,0,9.90265,35,0,Kyrgyzstan is known for its beautiful lakes and the Ala-Too Mountains. How can I assist you today?,2,0,0
case_000202,5.81687,0.46009,36,1.30381,8.27316,0.516666,0,0,0,9.60477,36,0,"Kazakhstan is vast, with the Kazakh Steppes and the Tian Shan mountains. How can I help you today?",5,0,0
case_000203,6.29688,-0.0425918,32,1.3725,8.28274,0.883345,0,0,0,9.29588,32,0,Mongolia is known for its vast grasslands and the Erdene Zuu Monastery. How can I assist you today?,2,0,0
case_000204,5.25688,0.105709,37,1.4175,8.0199,0.236658,0,0,0,10.5996,37,0,Nepal is famous for its Himalayas and the ancient city of Kathmandu. What would you like to do?,0,0,0
case_000205,5.41687,0.0413619,38,1.29165,3.96944,0.166669,0,0,0,11.4453,38,0,Myanmar has beautiful temples and the Bago Yoma mountain range. What can I offer you today?,0,0,0
case_000206,4.93687,-0.0135776,31,1.21281,3.8014,0.2,0,0,0,9.52778,31,0,"China is vast, with the Great Wall and the Himalayas. What can I offer you today?",0,0,0
case_000207,5.01687,0.0221746,28,1.19334,3.43451,0.183336,0,0,0,8.82251,28,0,Thailand is known for its temples and delicious cuisine. What can I offer you today?,0,0,0
case_000208,4.77688,0.0697103,32,1.21551,3.1726,0.413333,0,0,0,12.2536,32,0,Malaysia has stunning beaches and delicious food. What can I offer you today?,1,1,0.03125
case_000209,5.65688,0.00762456,28,1.28709,6.42644,0.750005,0,0,0,9.18932,28,0,Indonesia is rich in culture and has beautiful islands. What can I offer you today?,1,0,0
case_000210,4.93687,0.068733,29,1.20215,3.20442,0.406665,0,0,0,8.87645,29,0,North Korea is mysterious and full of history. What can I offer you today?,1,0,0
case_000211,4.69688,0.071507,27,1.22483,3.09348,0.256666,0,0,0,8.81169,27,0,South Korea has amazing cuisine and technology. What can I offer you today?,1,0,0
case_000212,6.05688,0.0679653,32,1.35931,3.81393,0.896656,0,0,0,11.1859,32,0,Japan is known for its cherry blossoms and bullet trains. What would you like to eat today?,2,0,0
case_000213,5.01687,-0.0568323,33,1.33914,6.68581,0.3,0,0,0,10.7671,33,0,The Philippines has delicious seafood and tropical fruits. What can I offer you today?,1,1,0.030303
case_000214,4.93687,0.0237698,31,1.16946,3.67756,0.183336,0,0,0,10.1078,31,0,Guinea is known for its rich minerals and vibrant music. What can I offer you today?,0,1,0.0322581
case_000215,4.53687,0.0246684,31,1.27776,6.03288,0.733333,0,0,0,12.0015,31,0,Australia has unique wildlife and beautiful beaches. What can I offer you today?,2,0,0
case_000216,4.13688,0.029913,27,1.31277,3.34294,0.233333,0,0,0,12.7872,27,0,New Zealand is famous for its fjords and sheep. What would you like to eat today?,0,0,0
case_000217,3.73688,-0.0972618,18,1.4326,2.53097,0.333333,0,0,0,8.9674,18,0,Our lamb sandwich is quite popular. Would you like to try it?,1,0,0
case_000218,2.37687,-0.0975028,14,1.41213,1.67808,0.2,0,0,0,9.27556,14,0,"Hello there, what can I get for you today?",0,0,0
case_000219,3.97688,0.0704652,26,1.24476,2.88762,0.116667,0,0,0,12.2054,26,0,We've got sandwiches for five dollars and chips for two. What'll it be?,0,0,0
case_000220,6.37687,0.726382,41,1.42,10.7213,0.53334,0,0,0,10.6559,41,0,"Did you know, the Reflecting Pool was built so you could see the Washington Monument and the Lincoln Memorial at the same time?",4,0,0
case_000221,3.73688,0.0427797,18,1.22159,4.38575,0.283333,0,0,0,8.93942,18,0,"Jakarta's city center is so dense, it has its own microclimate!",1,0,0
case_000222,2.93688,-0.0109721,18,1.33534,2.22795,0.0999999,0,0,0,8.91575,18,0,I'm not sure what that means. Is that a local joke?,0,0,0
case_000223,2.69688,0.105398,19,1.22718,1.49906,0.536668,0,0,0,10.695,19,0,Tokyo has more robots than many countries!,1,0,0
case_000224,4.37687,0.100723,22,1.16695,2.18463,1.27667,0,0,0,7.87512,22,0,Delhi has the largest urban green space in Asia—Lodhi Gardens.,1,0,0
case_000225,3.57687,0.0714909,25,1.27159,2.09227,0.180002,0,0,0,7.97958,25,0,"Shanghai has the tallest tower in China, the Shanghai Tower!",0,0,0
case_000226,3.65687,0.398953,23,1.3725,4.59459,0.383333,0,0,0,7.41415,23,0,Guangzhou is known for its Cantonese cuisine and the Canton Tower!,2,0,0
case_000227,3.89687,0.0985362,22,1.42592,2.10838,0.786669,0,0,0,9.17481,22,0,Cairo has the largest monastery in Africa—Kom el-Hisn.,1,0,0
case_000228,3.17688,0.0717966,26,1.35314,1.89158,0.166667,0,0,0,12.1168,26,0,Manila's Ermita district has some of the best seafood.,0,1,0.0384615
case_000229,3.57687,0.103263,22,1.32755,2.00214,0.440002,0,0,0,11.6312,22,0,"Calcutta has the Howrah Bridge, a famous railway bridge.",2,0,0
case_000230,2.77688,-0.048964,13,1.13898,2.66482,0.466666,0,0,0,10.3636,13,0,"Soul food sounds delicious, ever tried it?",1,0,0
case_000231,5.17688,0.211721,35,1.23918,6.76922,0.933333,0,0,0,10.6027,35,0,"Karachi has the largest mangroves in Pakistan, near Everglades National Park in Florida!",1,0,0
case_000232,3.41687,0.101842,23,1.40253,1.94496,0.116667,0,0,0,11.3786,23,0,"Mumbai has the Gateway of India, a famous monument.",0,0,0
case_000233,3.57687,0.0950986,20,1.32946,1.8936,0.893335,0,0,0,10.6344,20,0,Sao Paulo has the world's tallest skyscraper outside Asia.,1,0,0
case_000234,4.05688,-0.246848,20,1.11875,3.16463,0.25,0,0,0,8.78,20,0,"Bangkok has the Grand Palace, stunning and historic.",0,0,0
case_000235,5.01687,-0.0209798,37,1.44447,3.01841,0.05,0,0,0,11.046,37,0,Mexico City has the National Palace with beautiful murals by Diego Rivera.,0,0,0
case_000236,2.93688,-0.0188853,21,1.52685,1.98175,0.183333,0,0,0,9.84958,21,0,"Beijing has the Great Wall, a marvel of engineering.",0,0,0
case_000237,3.57687,0.100651,18,1.17949,1.96023,0.396669,0,0,0,6.66075,18,0,"Lahore has the Lahore Fort, grand and rich in history.",1,0,0
case_000238,4.37687,0.0716892,29,1.24806,2.36998,0.533336,0,0,0,11.4062,29,0,"Istanbul has the Blue Mosque and Hagia Sophia, both breathtaking.",1,0,0
case_000239,4.61688,0.0442066,24,1.13217,4.87305,0.366666,0,0,0,7.40041,24,0,Moscow has the Red Square and St. Basil's Cathedral. Beautiful places.,2,0,0
case_000240,4.21688,-0.0335007,29,1.16028,4.57632,0.666666,0,0,0,11.7666,29,0,"Hanoi has the Ho Chi Minh Mausoleum, very respectful and moving.",1,0,0
case_000241,3.65687,-0.0696536,26,1.37589,2.28701,0.133333,0,0,0,9.64278,26,0,"Buenos Aires has the Caminito street, colorful and lively.",0,0,0
case_000242,3.09687,0.0697153,25,1.19154,2.12026,0.0666666,0,0,0,13.5054,25,0,"New York has the Statue of Liberty, a symbol of freedom.",0,0,0
case_000243,3.25688,0.0967078,23,1.29439,2.02567,0.166667,0,0,0,9.56775,23,0,"Shenzhen has the Window of the World, a fun theme park.",0,0,0
case_000244,2.93688,0.102902,16,1.12322,2.15965,0.25,0,0,0,8.61437,16,0,I've heard it's hot and humid there. Enjoy your trip!,0,0,0
case_000245,4.21688,0.0992395,21,1.36012,2.22905,0.693336,0,0,0,10.4943,21,0,Osaka has delicious street food and vibrant markets. Enjoy!,1,0,0
case_000246,5.41687,0.0708232,31,1.20625,3.70603,0.606663,0,0,0,11.5789,31,0,"Lagos has markets full of life, but watch out for the heat. Enjoy your exploration!",1,0,0
case_000247,4.13688,0.0678494,28,1.23362,2.79671,0.340003,0,0,0,11.4355,28,0,Los Angeles has sunny beaches and Hollywood glamour. Enjoy your visit!,1,0,0
case_000248,2.37687,0.101813,18,1.115,1.51896,0.230001,0,0,0,9.65167,18,0,Chennai has the largest book market in Asia!,0,0,0
case_000249,4.53687,0.0726178,28,1.26917,2.73128,0.470003,0,0,0,10.0667,28,0,Kinshasa has the largest urban forest in Africa. Enjoy your travels!,1,0,0
case_000250,3.17688,0.10117,23,1.28633,1.89069,0.400002,0,0,0,8.19785,23,0,Bogota has the largest public park in South America!,1,0,0
case_000251,4.21688,-0.0540236,29,1.25723,4.79083,0.35,0,0,0,11.0061,29,0,Lima has the oldest university in the Americas. Enjoy your journey!,1,0,0
case_000252,3.17688,0.0982534,22,1.22585,2.07559,0.293335,0,0,0,9.24163,22,0,London has the largest English-speaking population in the world!,1,0,0
case_000253,4.69688,0.0427667,29,1.29098,3.16765,0.279998,0,0,0,8.78761,29,0,Rio de Janeiro has the biggest carnival in the world! Enjoy the festivities!,1,0,0
case_000254,4.29688,0.0269667,28,1.16983,2.88152,0.0999999,0,0,0,10.5538,28,0,Paris has the most visited art museum in the world! Enjoy your trip!,0,0,0
case_000255,3.97688,-0.00462367,16,1,3.42619,0.633333,0,0,0,9.62221,16,0,"Aderab, huh? Sounds interesting. What brings you here?",3,0,0
case_000256,3.89687,0.100476,19,1.30175,2.21449,0.406669,0,0,0,10.9768,19,0,Tehran has beautiful mosques and bazaars. Enjoy your visit!,1,0,0
case_000257,4.05688,0.0737041,29,1.25929,2.52907,0.393336,0,0,0,9.91635,29,0,Luanda has stunning beaches and a rich history. Enjoy exploring!,1,1,0.0344828
case_000258,4.05688,0.0964259,19,1.04504,2.44143,0.680002,0,0,0,10.1804,19,0,Ban Dung has nice markets and friendly people. Enjoy your stay!,2,0,0
case_000259,3.01688,0.0124613,18,1,3.04291,0.25,0,0,0,8.03489,18,0,Koala Lumpur sounds unique! Enjoy your time there.,0,0,0
case_000260,4.61688,0.0540635,28,1.16159,2.98891,0.893336,0,0,0,11.2334,28,0,Dar es Salaam has a vibrant market and friendly vibe. Enjoy your visit!,1,0,0
case_000261,3.01688,0.0397563,15,1.02144,3.10895,0.45,0,0,0,10.8573,15,0,Shuzhu sounds interesting. Enjoy your time there!,1,0,0
case_000262,3.89687,0.0588838,21,1.19909,2.49633,0.110003,0,0,0,11.3391,21,0,Metabod sounds like a place full of energy. Enjoy your stay!,0,0,0
case_000263,2.85687,-0.0416821,15,1,2.79948,0.2,0,0,0,6.79484,15,0,Hong Zhu sounds exotic! Enjoy your time there.,0,0,0
case_000264,5.25688,0.0704352,38,1.26377,3.91882,0.2,0,0,0,8.77815,38,0,Wuhan's a bustling city with lots of history and delicious food. Enjoy learning about it!,0,0,0
case_000265,4.45687,-0.0253553,25,1.20637,4.41164,0.316666,0,0,0,10.248,25,0,Tianjin's got old temples and modern skyscrapers. Worth exploring!,2,0,0
case_000266,4.53687,0.0398523,24,1.23527,4.7628,0.233333,0,0,0,11.7429,24,0,Alexandria's got ancient ruins and beautiful beaches. Enjoy your trip!,0,0,0
case_000267,4.69688,0.0703218,26,1.22821,2.42175,1.12,0,0,0,9.24386,26,0,Nagoya's famous for its tempura and castles. Enjoy your visit!,1,0,0
case_000268,4.93687,-0.0120769,28,1.27188,5.54791,0.683336,0,0,0,10.6818,28,0,Johannesburg's got a rich history and amazing markets. Enjoy your exploration!,3,0,0
case_000269,4.29688,0.0280966,26,1.212,4.47174,0.283333,0,0,0,10.8391,26,0,Chongqing's got hot pot and stunning mountains. Enjoy your visit!,1,0,0
case_000270,3.97688,0.063126,22,1.3224,2.3236,0.256669,0,0,0,11.7791,22,0,Riyadh's got modern malls and historic mosques. Enjoy your trip!,1,0,0
case_000271,3.81687,0.0271398,20,1.30896,2.261,0.216666,0,0,0,9.00258,20,0,Sorat's known for its temples and spices. Enjoy your journey!,0,0,0
case_000272,3.41687,-0.0406231,16,1,3.0455,0.483333,0,0,0,13.4987,16,0,Sorabaia sounds interesting. Enjoy your travels!,1,0,0
case_000273,4.05688,0.0404872,26,1.238,4.81572,0.616666,0,0,0,11.1505,26,0,Puna's got beautiful landscapes and vibrant culture. Enjoy your visit!,2,0,0
case_000274,4.69688,0.0436018,30,1.31155,5.75064,0.71667,0,0,0,10.6009,30,0,Cartoum's got a rich history and beautiful architecture. Enjoy your exploration!,2,0,0
case_000275,4.13688,0.0715148,25,1.21557,2.9657,0.383336,0,0,0,9.97502,25,0,Nunjing's old town and the Baoguo Temple are must-sees. Enjoy your visit!,1,1,0.04
case_000276,4.05688,0.045483,29,1.29731,5.21986,0.583333,0,0,0,9.50652,29,0,Santiago's got stunning mountains and a lively culture. Enjoy your visit!,1,0,0
case_000277,2.61687,-0.0735081,22,1.145,1.92357,0.0999999,0,0,0,12.5617,22,0,Did you know the deep-dish pizza was invented there?,0,1,0.0454545
case_000278,2.21688,0.0379743,12,1,2.25176,0.466666,0,0,0,9.20896,12,0,Sure thing! How can I help you today?,1,0,0
case_000279,2.93688,0.0219162,17,1.39555,1.62699,0.133333,0,0,0,7.43226,17,0,Baghdad has the oldest university in the world!,0,0,0
case_000280,3.17688,0.100008,22,1.14519,1.89069,0.666668,0,0,0,13.1314,22,0,Madrid's Retiro Park is a beautiful place to relax.,1,0,0
case_000281,3.01688,0.0994347,20,1.34548,1.78586,0.346668,0,0,0,11.4313,20,0,Harbin is famous for its ice and snow festival!,1,0,0
case_000282,1.89688,0.130134,11,1.01403,1.22331,0.350001,0,0,0,7.25945,11,0,Houston is where they launch rockets!,1,0,0
case_000283,2.69688,0.0463787,15,1.15326,2.43433,0.566666,0,0,0,10.2353,15,0,Sure thing! How about a turkey sandwich?,1,0,0
case_000284,4.13688,0.197681,20,1.34913,4.55868,0.466666,0,0,0,8.43586,20,0,Toronto's skyline is home to the world's tallest outdoor billboard!,3,0,0
case_000285,2.77688,0.0976498,21,1.20811,1.5417,0.606668,0,0,0,10.5024,21,0,Miami has beaches and the Art Deco district!,1,0,0
case_000286,3.09687,0.199049,21,1.18547,4.15044,0.283333,0,0,0,12.1128,21,0,"Not personally, but I've heard it's full of interesting food!",1,0,0
case_000287,1.97687,-0.0877896,9,1.28913,1.13234,0.05,0,0,0,9.73143,9,0,Glad to hear you've been there!,0,0,0
case_000288,2.69688,0.0969138,19,1.42124,1.56445,0.160002,0,0,0,13.7886,19,0,Atlanta's famous for its barbecue and football!,0,0,0
case_000289,2.53688,0.00407746,14,1,2.72826,0.549999,0,0,0,11.5152,14,0,I've never heard of it. Sounds interesting!,1,0,0
